Latitude,Longitude,StationName,State,County,StationID,Date,Time,RainAccumulation(Inches),WindSpeed(MPH),WindDirection(Degrees),AirTempreture(Fahrenheit),RelativeHumidity(%),SolarRadiation(W/M^2)
35.69028,-101.56833,CEDAR,TX,Hutchinson,17130795,2022/08/31,12:36:00+00,9.63,1.0,256.0,66.0,90.0,3.0
32.65833,-94.11639,CADDO LAKE,TX,Harrison,17341985,2022/03/15,13:11:00+00,7.19,2.0,311.0,53.0,100.0,6.0
30.98556,-101.15778,BARNHART,TX,Crockett,17311780,2022/03/24,06:08:00+00,0.29,4.0,266.0,41.0,39.0,0.0
31.04944,-98.525,COLORADO BEND,TX,San Saba,17312287,2022/04/25,16:07:00+00,2.08,8.0,36.0,64.0,79.0,183.0
32.13669,-94.84736,HENDERSON,TX,Rusk,17312802,2022/08/31,13:05:59+00,27.01,0.0,66.0,76.0,97.0,131.0
30.105,-94.93139,DAYTON,TX,Liberty,17322276,2022/03/15,13:21:59+00,11.97,4.0,295.0,54.0,80.0,57.0
33.23833,-95.92472,GREENVILLE,TX,Hunt,17320743,2022/08/31,13:07:00+00,20.2,1.0,131.0,75.0,97.0,92.0
29.66917,-94.43833,ANAHUAC,TX,Chambers,17008167,2022/04/04,17:13:00+00,5.37,15.0,109.0,73.0,83.0,284.0
31.28028,-93.83861,SABINE SOUTH,TX,Sabine,17051424,2022/03/15,13:08:00+00,8.98,0.0,290.0,54.0,100.0,11.0
31.395,-95.13889,RATCLIFF,TX,Houston,17051167,2022/08/31,13:02:59+00,25.64,0.0,30.0,72.0,98.0,21.0
30.2625,-98.62889,BIRD,TX,Gillespie,17313315,2022/04/25,16:08:00+00,1.27,10.0,24.0,64.0,87.0,112.0
33.74089,-95.92236,CADDO,TX,Fannin,17049380,2022/08/31,13:02:59+00,23.22,2.0,168.0,74.0,100.0,43.0
30.73694,-94.4325,WOODVILLE,TX,Tyler,17311267,2022/08/31,13:04:00+00,28.92,3.0,23.0,76.0,100.0,66.0
31.89444,-104.79778,PINERY,TX,Culberson,17136168,2022/08/31,12:53:00+00,10.62,8.0,42.0,61.0,100.0,1.0
33.37389,-94.04556,TEXARKANA,TX,Bowie,17322016,2022/08/31,13:05:00+00,32.62,0.0,197.0,73.0,0.0,64.0
30.98556,-101.15778,BARNHART,TX,Crockett,17311779,2022/03/15,13:08:00+00,0.29,7.0,337.0,36.0,55.0,3.0
30.60056,-103.88667,FORT DAVIS,TX,Jeff Davis,17427484,2022/03/15,13:04:00+00,0.16,0.0,215.0,28.0,59.0,0.0
31.92417,-98.59722,COMANCHE,TX,Comanche,17515289,2022/08/31,13:11:00+00,6.87,1.0,180.0,75.0,93.0,63.0
28.885,-99.11056,PEARSALL,TX,Frio,17515548,2022/03/24,06:11:00+00,1.5,0.0,233.0,44.0,39.0,0.0
34.41056,-101.04917,CAPROCK,TX,Briscoe,17312036,2022/03/15,13:08:00+00,0.48,2.0,335.0,38.0,64.0,3.0
31.80247,-94.00022,SABINE NORTH 2,TX,Shelby,17050657,2022/03/15,13:01:00+00,8.37,2.0,291.0,52.0,98.0,3.0
31.90611,-100.58167,PAINT CREEK,TX,Coke,17514778,2022/03/15,13:10:00+00,1.36,5.0,261.0,40.0,57.0,0.0
30.105,-94.93139,DAYTON,TX,Liberty,17322277,2022/06/27,05:22:00+00,19.9,2.0,172.0,82.0,72.0,0.0
32.86722,-98.56167,POSSUM KINGDOM,TX,Palo Pinto,17310243,2022/08/31,13:05:00+00,11.25,3.0,133.0,75.0,96.0,26.0
32.44694,-97.81694,GRANBURY,TX,Hood,17427236,2022/08/31,13:04:00+00,12.86,0.0,339.0,75.0,94.0,33.0
31.97236,-104.94791,PX WELL,TX,Hudspeth,17572372,2022/03/15,12:54:00+00,0.49,4.0,130.0,37.0,48.0,0.0
31.9961,-104.83375,DOG CANYON,TX,Culberson,17572630,2022/08/31,12:54:00+00,14.77,3.0,349.0,59.0,93.0,0.0
31.38389,-97.41278,MCGREGOR,TX,McLennan,17422875,2022/04/25,16:02:00+00,4.78,11.0,23.0,64.0,92.0,150.0
26.07861,-98.15722,SANTA ANA NWR,TX,Hidalgo,17161765,2022/04/02,14:45:00+00,3.12,1.0,40.0,75.0,85.0,110.0
33.28267,-97.63206,LBJ,TX,Wise,17050410,2022/08/31,13:02:59+00,20.8,4.0,164.0,75.0,0.0,13.0
34.82861,-102.80944,BOOTLEG,TX,Deaf Smith,17427744,2022/03/15,13:02:59+00,0.25,5.0,307.0,24.0,79.0,1.0
31.29556,-96.36556,ROUND PRAIRIE,TX,Robertson,17515033,2022/08/31,13:10:00+00,22.45,1.0,41.0,74.0,95.0,27.0
30.73556,-95.63611,HUNTSVILLE,TX,Walker,17310497,2022/08/31,13:05:59+00,22.58,1.0,46.0,74.0,100.0,33.0
31.5145,-99.65075,COLEMAN,TX,Coleman,17386528,2022/08/30,16:07:00+00,6.75,3.0,1.0,74.0,90.0,191.0
30.73583,-99.18639,MASON,TX,Mason,17322535,2022/04/25,16:05:59+00,1.32,6.0,10.0,61.0,93.0,6.0
31.05639,-97.34694,TEMPLE,TX,Bell,17422622,2022/04/25,16:05:00+00,6.53,13.0,19.0,65.0,90.0,210.0
31.80247,-94.00022,SABINE NORTH 2,TX,Shelby,17050660,2022/08/31,13:01:00+00,31.46,0.0,311.0,78.0,95.0,102.0
30.60056,-103.88667,FORT DAVIS,TX,Jeff Davis,17427485,2022/03/30,12:04:00+00,0.16,25.0,263.0,46.0,52.0,0.0
32.13669,-94.84736,HENDERSON,TX,Rusk,17312800,2022/03/15,13:05:59+00,5.77,5.0,308.0,49.0,100.0,5.0
30.63306,-93.82861,"KIRBYVILLE, TX",TX,Jasper,17313060,2022/03/15,13:05:59+00,10.28,1.0,229.0,55.0,92.0,9.0
31.97236,-104.94791,PX WELL,TX,Hudspeth,17572373,2022/08/31,12:54:00+00,11.46,0.0,184.0,66.0,91.0,1.0
33.005,-94.35778,LINDEN,TX,Cass,17313566,2022/03/15,13:05:59+00,6.08,3.0,248.0,52.0,100.0,2.0
33.37389,-94.04556,TEXARKANA,TX,Bowie,17322015,2022/03/15,13:05:00+00,8.75,3.0,208.0,53.0,100.0,3.0
33.62685,-95.09054,CLARKSVILLE,TX,Red River,17311522,2022/08/31,13:08:00+00,24.17,1.0,64.0,75.0,97.0,76.0
31.89444,-104.79778,PINERY,TX,Culberson,17136167,2022/03/15,12:53:00+00,0.32,6.0,307.0,43.0,29.0,0.0
34.41056,-101.04917,CAPROCK,TX,Briscoe,17312037,2022/08/31,13:08:00+00,13.74,5.0,341.0,73.0,84.0,18.0
34.11754,-100.34458,MATADOR,TX,Cottle,17311003,2022/03/15,13:04:00+00,0.51,11.0,317.0,42.0,57.0,2.0
31.28028,-93.83861,SABINE SOUTH,TX,Sabine,17051426,2022/08/31,13:08:00+00,26.74,0.0,54.0,76.0,96.0,104.0
32.60917,-96.99306,CEDAR HILL SP,TX,Dallas,17423128,2022/08/31,13:08:00+00,18.9,1.0,208.0,75.0,95.0,41.0
28.86361,-96.91639,VICTORIA,TX,Victoria,17323296,2022/03/24,06:04:59+00,3.9,8.0,235.0,51.0,52.0,0.0
32.70111,-94.94472,GILMER,TX,Upshur,17320230,2022/08/31,13:07:00+00,27.43,0.0,42.0,75.0,99.0,50.0
29.60917,-100.47306,KICKAPOO CAVERNS SP,TX,Kinney,17510679,2022/03/30,12:00:00+00,0.23,8.0,292.0,65.0,28.0,0.0
31.1772,-94.38386,ZAVALLA,TX,Angelina,17362965,2022/03/15,13:02:00+00,7.12,1.0,278.0,51.0,97.0,7.0
29.14631,-95.30308,BRAZORIA NWR,TX,Brazoria,17007677,2022/04/04,17:29:00+00,2.73,10.0,133.0,73.0,88.0,176.0
31.29556,-96.36556,ROUND PRAIRIE,TX,Robertson,17515031,2022/03/15,13:10:00+00,5.21,4.0,305.0,50.0,63.0,17.0
33.22111,-95.76611,ATHENS,TX,Henderson,17320482,2022/03/15,13:09:00+00,4.49,1.0,301.0,48.0,100.0,25.0
30.51806,-95.09472,COLDSPRINGS,TX,San Jacinto,17294876,2022/08/31,13:02:59+00,23.73,1.0,64.0,75.0,78.0,57.0
31.395,-95.13889,RATCLIFF,TX,Houston,17051166,2022/03/15,13:02:59+00,5.73,2.0,269.0,46.0,100.0,9.0
31.94306,-102.18972,MIDLAND,TX,Midland,17310756,2022/03/24,06:04:00+00,0.3,5.0,357.0,41.0,34.0,0.0
30.20139,-97.30361,BASTROP,TX,Bastrop,17387296,2022/03/24,06:08:00+00,6.6,0.0,108.0,45.0,67.0,0.0
34.82861,-102.80944,BOOTLEG,TX,Deaf Smith,17427745,2022/08/31,13:02:59+00,6.21,7.0,3.0,66.0,92.0,13.0
30.2362,-95.48305,CONROE,TX,Montgomery,17049644,2022/08/31,13:02:59+00,25.5,1.0,81.0,75.0,96.0,21.0
33.41361,-99.40056,MILLER CREEK,TX,Baylor,17323039,2022/03/15,13:05:00+00,0.98,11.0,312.0,44.0,56.0,5.0
33.23833,-95.92472,GREENVILLE,TX,Hunt,17320741,2022/03/15,13:07:00+00,4.16,4.0,307.0,47.0,85.0,10.0
28.30442,-96.82344,ARANSAS,TX,Aransas,17009202,2022/03/15,12:59:59+00,3.63,4.0,305.0,55.0,79.0,7.0
31.9961,-104.83375,DOG CANYON,TX,Culberson,17572628,2022/03/15,12:54:00+00,0.36,6.0,188.0,36.0,42.0,0.0
29.9075,-96.86,LA GRANGE,TX,Fayette,17313823,2022/03/24,06:04:00+00,7.11,1.0,77.0,46.0,78.0,0.0
30.73694,-94.4325,WOODVILLE,TX,Tyler,17311266,2022/03/15,13:04:00+00,10.54,9.0,273.0,50.0,100.0,16.0
32.65833,-94.11639,CADDO LAKE,TX,Harrison,17341986,2022/08/31,13:11:00+00,30.03,0.0,113.0,73.0,100.0,60.0
31.1772,-94.38386,ZAVALLA,TX,Angelina,17362966,2022/03/23,05:02:00+00,9.62,3.0,270.0,51.0,59.0,0.0
31.90611,-100.58167,PAINT CREEK,TX,Coke,17514779,2022/08/30,16:10:00+00,5.36,4.0,354.0,75.0,82.0,259.0
31.925,-104.82528,THE BOWL,TX,Culberson,16911146,2022/03/15,12:39:00+00,0.14,3.0,147.0,37.0,37.0,0.0
29.67042,-96.26817,ATTWATER NWR,TX,Colorado,17319973,2022/04/04,16:34:59+00,5.59,8.0,173.0,77.0,77.0,227.0
31.30694,-97.76083,FORT HOOD LIVE FIRE,TX,Coryell,19851015,2022/04/28,18:36:59+00,4.01,9.0,159.0,80.0,57.0,479.0
29.70722,-94.12111,MCFADDIN,TX,Jefferson,17162015,2022/04/04,16:34:59+00,5.2,11.0,116.0,72.0,83.0,124.0
32.5,-99.61667,HAMBY,TX,Taylor,17312546,2022/08/31,13:02:59+00,6.85,0.0,119.0,73.0,93.0,9.0
30.2362,-95.48305,CONROE,TX,Montgomery,17049642,2022/03/15,13:02:59+00,6.81,1.0,286.0,50.0,93.0,5.0
28.46594,-98.25242,GEORGE WEST,TX,Live Oak,17320997,2022/03/24,06:07:00+00,1.19,7.0,239.0,55.0,29.0,0.0
31.925,-104.82528,THE BOWL,TX,Culberson,16911147,2022/08/31,12:39:00+00,11.76,7.0,76.0,53.0,100.0,0.0
26.5547,-99.1356,FALCON LAKE,TX,Starr,17351970,2022/04/02,15:11:00+00,1.44,2.0,123.0,78.0,74.0,160.0
29.85944,-98.50528,GUADALUPE RIVER SP,TX,Comal,17421603,2022/04/25,16:05:59+00,2.48,9.0,46.0,67.0,82.0,153.0
31.7425,-95.57167,PALESTINE,TX,Anderson,17321250,2022/08/31,13:05:00+00,18.37,0.0,25.0,72.0,97.0,21.0
32.22111,-95.76611,ATHENS,TX,Henderson,17320481,2022/08/30,00:09:00+00,17.96,10.0,146.0,86.0,62.0,178.0
31.90611,-100.58167,PAINT CREEK,TX,Coke,17514780,2022/08/31,13:10:00+00,5.37,2.0,138.0,73.0,100.0,10.0
31.5145,-99.65075,COLEMAN,TX,Coleman,17386529,2022/08/31,13:07:00+00,6.81,3.0,101.0,72.0,96.0,16.0
